%OpenBCI Raw EEG Data
%Number of channels = 8
%Sample Rate = 256 Hz
%Board = OpenBCI_GUI$BoardShim
%Generated by NeuroBIDS-Flow sample generator
 Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Timestamp, Marker
    38,     1321,      625,     -835,     -192,     -200,     -563,      521,      477, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.148438, 
    39,     -786,      424,     2607,      100,      260,      467,     -966,     -164, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.152344, 
    40,     -318,      390,    -1056,      351,      -79,     -359,      512,     -650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.156250, 
    41,      -51,      145,     1447,    -1667,    -1185,     -313,    -1108,     -866, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.160156, 
    42,     -217,    -1722,       39,    -1940,     -578,       39,    -1313,      738, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.164062, 
    43,    -1245,    -1132,     -884,     -840,     -468,      226,     -771,     -504, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.167969, 
    44,    -1286,     -457,     -726,     -429,     -597,    -2412,     -664,     -753, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.171875, 
    45,    -1201,     -951,    -1147,     -701,     -255,     -965,     -706,    -1155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.175781, 
    46,      288,     -609,     -622,    -1667,    -1558,    -1980,    -1573,     -674, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.179688, 
    47,    -1422,     -852,    -1260,     -161,     -887,     1064,     -268,    -1125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.183594, 
    48,     -847,     -922,     -154,      650,    -2142,     -528,      281,      664, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.187500, 
    49,       64,     -618,     -334,    -1039,      318,      196,     -222,     -358, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.191406, 
    50,     -986,    -1008,     -919,     -742,     -190,     -676,     -977,     -300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.195312, 
    51,      133,     -525,      247,      -22,     -114,     -278,      156,     -161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.199219, 
    52,    -1095,      134,      424,       94,       93,      916,     -230,      802, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.203125, 
    53,      515,      353,      -94,     1194,      709,      732,     -552,       73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.207031, 
    54,      606,      952,      284,      761,     1269,     1697,      559,      -79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.210938, 
    55,      831,      530,     1065,      525,      526,      161,     2158,      478, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.214844, 
    56,      245,     1953,     1560,      432,     1103,      682,     1103,     1001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.218750, 
    57,     1038,     1711,      790,     -139,     1152,     1230,     1009,     1329, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.222656, 
    58,      863,      552,     1514,     1809,     -585,     1336,     1642,      704, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.226562, 
    59,     1712,      973,     1624,     1262,      365,     1122,     1490,      698, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.230469, 
    60,     1169,     1555,     1615,      680,     1033,     -146,      -44,     1155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.234375, 
    61,     -375,      167,      876,      670,     1425,      -35,     2003,    -1435, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.238281, 
    62,     -141,      -84,     -188,      344,     1329,      646,      652,      340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.242188, 
    63,     -201,     1084,      810,     -972,     -609,     -823,      871,     -248, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.246094, 
    64,      115,      458,     -133,     -959,      665,     -600,     -406,       35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.250000, 
    65,     -336,      497,      117,     -359,      470,     -197,    -1588,       87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.253906, 
    66,     -543,     -215,     -848,     -575,     -149,     -947,     -610,      547, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.257812, 
    67,     1285,     -776,    -1007,     -613,    -1960,     -451,    -1499,    -1334, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.261719, 
    68,    -1091,    -1647,    -1218,      392,    -1107,     -807,     -161,     -975, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.265625, 
    69,       88,     -752,    -1733,    -1036,     -771,    -1373,    -2036,    -1142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.269531, 
    70,     -990,      -64,    -1284,    -1403,    -1049,    -1404,    -1150,     -966, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.273438, 
    71,    -2346,      -49,    -1577,     -848,    -2339,      -26,     -789,    -1452, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.277344, 
    72,     -695,     -105,     -444,    -1761,     -999,     -566,     -870,      968, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.281250, 
    73,       36,     -186,    -1429,     -610,    -1339,     -549,    -1398,      220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.285156, 
    74,     -137,      921,    -1012,    -1049,     -166,     -525,    -2113,     -753, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.289062, 
    75,     -204,    -1418,     -374,     -225,      -54,     -985,    -1745,      -69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.292969, 
    76,     -152,      -13,     1048,     -289,      182,     -546,    -1027,     -208, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.296875, 
    77,     -281,     -578,     -413,      -44,     -197,    -1560,    -1232,      352, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.300781, 
    78,      867,     1308,     -661,      686,      279,     -161,      -99,     -114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.304688, 
    79,      174,       94,     -414,      958,      409,       49,     -332,     -488, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.308594, 
    80,      207,     1314,       59,     2002,     1250,     1005,     -481,      251, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.312500, 
    81,     1046,      469,      330,     1237,      413,      366,     -395,     1626, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.316406, 
    82,      656,     1140,     2405,      693,      350,     1385,     -377,     -277, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.320312, 
    83,     1753,      821,     1542,      469,     1539,      719,      737,     1429, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.324219, 
    84,     1189,      866,      664,     1109,     1427,      975,      315,      997, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.328125, 
    85,      283,     1029,     2049,     1786,     1118,      784,      807,      238, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.332031, 
    86,      -81,     1304,      275,     1261,     1746,     1156,      671,      858, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.335938, 
    87,      142,      453,      251,       48,     1928,     1336,      479,      315, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.339844, 
    88,     1904,      933,       19,      639,     1161,     -326,      908,    -1457, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.343750, 
    89,      -35,      820,      812,      272,     -377,     1304,     -679,     -498, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.347656, 
    90,      413,     -375,     -142,      608,      462,     -670,      571,     -676, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.351562, 
    91,    -1185,      956,      702,     -106,     -234,     -432,      221,      364, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.355469, 
    92,    -1230,       -3,     -212,     -326,     -881,     -858,     -337,    -1024, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.359375, 
    93,     -794,     -957,      -58,    -1461,    -1165,      343,     -886,    -1006, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.363281, 
    94,      348,     -380,    -2011,     -261,     -612,    -1504,     -423,    -1706, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.367188, 
    95,    -1736,     -173,    -2010,    -1803,     -321,     -388,     -214,     -979, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.371094, 
    96,    -1317,     -499,    -2013,     -834,       30,    -2376,    -1476,    -1690, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.375000, 
    97,     -260,     -730,    -1153,    -1235,     -413,     -319,     -102,      -64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.378906, 
    98,      283,    -3101,    -1817,    -1194,     -400,     -913,      723,     -927, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.382812, 
    99,     -363,    -1306,      175,     -266,     -795,     -908,     -378,    -1255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.386719, 
   100,      -36,      -34,     -623,     -492,     -344,     -954,      681,      587, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.390625, 
   101,     -895,     -955,      119,    -1899,    -1296,     -337,      289,     -870, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.394531, 
   102,     -966,      265,     -409,     -211,      300,     -317,      323,      424, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.398438, 
   103,     -628,      733,      693,     -120,      429,     -860,     -148,     -506, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.402344, 
   104,     -235,      275,     -968,     1194,     1635,     -176,      256,      905, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.406250, 
   105,      691,     -644,      507,     -293,      513,     1076,      -33,     1607, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.410156, 
   106,     -121,      203,     1033,     1983,     1496,      427,     1363,      591, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.414062, 
   107,      980,     1272,     1205,     1387,      494,      282,      293,      316, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.417969, 
   108,      667,     1723,      666,      692,     2018,      910,     1989,      359, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.421875, 
   109,      515,     -503,     -255,      612,     1866,     1221,     1064,     1052, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.425781, 
   110,     1447,      907,     1532,      425,     1613,     1289,      947,     2281, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.429688, 
   111,      118,     -222,      499,      976,      803,      989,     -340,     1546, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.433594, 
   112,     1589,      686,      420,       97,      476,     1437,      817,     1408, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.437500, 
   113,     1009,      346,     1941,      372,      202,      484,       14,     -339, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.441406, 
   114,     -414,     1834,      315,     -478,     -402,       91,     -444,      846, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.445312, 
   115,      840,     -327,     -314,      512,      347,      620,     -743,      495, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.449219, 
   116,     -928,      519,     -572,      -70,     -351,     -659,    -1368,     -234, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.453125, 
   117,      476,      285,       41,     -705,     -134,     -662,     -742,    -1114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.457031, 
   118,     -352,     -706,    -1126,     -737,     -461,    -1644,    -1043,     -254, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.460938, 
   119,    -1784,     -645,     -381,    -1189,    -1445,      492,    -1953,    -1531, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.464844, 
   120,    -1700,     -830,      -91,     -620,     -118,      568,     -814,     -747, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.468750, 
   121,    -1158,    -1385,     -945,    -1728,     -822,    -1004,      236,    -1492, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.472656, 
   122,     -307,    -1446,     -226,     -284,     -310,     -377,    -2120,    -1880, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.476562, 
   123,     -953,    -1113,     -885,     -722,    -1621,     -369,    -1153,    -1406, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.480469, 
   124,     -869,    -1502,    -1199,    -1039,    -1250,     -610,      178,      331, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.484375, 
   125,     -565,     -928,    -1710,     -198,     -856,      222,    -1265,    -1571, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.488281, 
   126,    -1751,     -543,     -227,     -151,     -249,    -1261,     -218,      119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.492188, 
   127,      346,      -98,       -8,     -908,     -276,     -330,        6,      290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.496094, 
   128,      910,      308,      669,      888,      926,    -1389,      455,     -109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.500000, 
   129,      757,       96,      822,    -1447,      922,     -450,     1513,      -69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.503906, 
   130,      147,      -84,     1819,     1162,      -58,     -659,     -663,     -265, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.507812, 
   131,       15,      894,      219,      499,     2586,     -624,      892,     1675, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.511719, 
   132,       24,     1281,      989,     1415,      693,      417,      615,      207, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.515625, 
   133,       85,      520,      384,     1813,     1712,     1091,     1062,     -725, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.519531, 
   134,     2411,      232,     1515,      604,      700,      445,     1200,     1430, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.523438, 
   135,      830,      583,      261,      628,     1302,      517,      994,      328, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.527344, 
   136,     1429,      700,     1435,     1033,     1459,      329,      424,     1106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.531250, 
   137,     1281,     1480,      217,      -49,     -297,      805,      375,      160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.535156, 
   138,      654,     1024,     1072,      335,     1730,      152,     2341,      497, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.539062, 
   139,     -253,      369,     1181,       92,     -152,     -303,     -198,      713, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.542969, 
   140,      510,     1438,     -880,     -633,      -71,      788,     1336,      595, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.546875, 
   141,     -782,      -79,     -960,     -370,     -462,     -641,     -414,     1038, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.550781, 
   142,      132,      677,     -113,      233,     -652,    -1124,      106,     -137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.554688, 
   143,    -1166,      349,     -384,      -13,     -819,       26,     1136,     -332, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.558594, 
   144,     -934,      130,     -837,     -760,    -1442,    -1771,      143,     -806, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.562500, 
   145,    -1067,     -558,    -1093,     -732,     -262,       51,    -1528,     -227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.566406, 
   146,       79,     -781,    -1433,    -1064,     -782,    -1548,     -919,    -1759, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.570312, 
   147,    -2527,     -890,     -672,    -2076,     -987,     -840,     -793,    -1390, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.574219, 
   148,      689,     -304,    -1522,    -1557,     -193,    -1542,     -116,    -1131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.578125, 
   149,    -1344,    -1333,     -557,     -159,      382,     -794,     -757,    -1711, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.582031, 
   150,     -766,     -859,    -1068,      120,    -1730,    -1033,     -828,      -78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.585938, 
   151,     -245,      596,     -806,    -1098,      567,    -1182,      541,     -660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.589844, 
   152,     -110,       88,      485,      420,     -345,    -1406,      590,    -1510, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.593750, 
   153,      447,      522,      522,     -924,    -1024,     -481,      163,     -194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.597656, 
   154,      510,     -718,     -568,     -246,      377,      419,     -548,      651, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.601562, 
   155,     1681,       23,     -271,      234,      235,      766,    -1732,     -464, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.605469, 
   156,      999,      732,     1030,      324,     1085,       25,     -649,     1172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.609375, 
   157,      593,      644,     -290,      207,      769,      191,     -689,      649, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.613281, 
   158,      424,      -26,     1771,      880,     1034,      678,      410,      797, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.617188, 
   159,      482,     1381,      961,     1392,      579,      872,     1146,     1609, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.621094, 
   160,     1762,     1617,      506,      -80,      204,      892,     1862,     1035, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.625000, 
   161,     2042,      673,      871,      949,     1362,      573,     1365,     1200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.628906, 
   162,     1456,     1316,     1696,     1430,      430,      537,      -35,      985, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.632812, 
   163,    -1470,     2015,     -776,      376,      923,      460,      501,     -320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.636719, 
   164,    -1022,     1509,     1174,      118,     1482,    -1135,      459,     1017, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.640625, 
   165,      283,      126,     1089,     -282,      180,       15,    -1021,      757, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.644531, 
   166,      -38,     -667,     -141,     1416,      543,      598,     -737,      150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.648438, 
   167,     -132,        9,     -193,      856,     -165,      789,     -615,    -1504, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.652344, 
   168,      484,     1219,     -264,     -553,     -600,      433,      939,      419, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.656250, 
   169,      261,      353,      -52,      247,    -1593,     -484,     -368,     -771, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.660156, 
   170,     -583,     -704,    -1190,    -1053,     -727,    -1498,    -1614,    -1128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.664062, 
   171,    -1837,      233,     -824,     -919,     -925,    -1182,    -1079,    -1340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.667969, 
   172,    -1705,      -96,     -947,    -1591,    -1464,    -1391,     -505,    -1945, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.671875, 
   173,     -847,    -2167,     -437,    -2129,    -2258,    -1838,     -937,     -388, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.675781, 
   174,     -572,     -139,      943,    -1241,    -1972,    -1484,     -919,      861, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.679688, 
   175,    -1576,     -680,    -1252,    -1044,      438,    -1248,      -52,    -1083, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.683594, 
   176,     -178,    -1203,     -569,     -335,     -596,    -1558,      574,      -75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.687500, 
   177,    -1623,     -385,     -957,       -7,    -1410,      179,      658,     -584, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.691406, 
   178,    -2032,       32,     -573,     -327,     -649,      163,     -129,     -201, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.695312, 
   179,     -615,     -561,     -750,     -693,      -21,      -61,      198,     -276, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.699219, 
   180,     1111,      109,     -837,     -251,      490,      445,      334,      458, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.703125, 
   181,     1418,      174,     1190,     1464,      240,      601,     1462,     -714, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.707031, 
   182,     -490,     1113,      818,     1001,     1936,       87,      674,      313, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.710938, 
   183,     -291,      525,      790,     1682,     2116,     1935,     -216,     1137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.714844, 
   184,     1343,     -308,      246,     2025,     1089,      316,     1485,      945, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.718750, 
   185,      591,      587,      837,      446,      641,     -232,     1547,      756, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.722656, 
   186,     1805,      253,      112,     1439,     1145,      997,      891,      625, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.726562, 
   187,     1336,      -31,      818,      231,      -54,     1215,     2318,      300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.730469, 
   188,     1349,     1527,      958,     1428,     1405,      532,      566,      248, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.734375, 
   189,       37,     1128,      224,     1144,      704,     1424,     1689,     -648, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.738281, 
